processo_25,id
1,0000034-46.2026.8.16.0000
2,0005942-38.2022.8.16.0190
3,0000029-24.2026.8.16.0000
4,0153483-58.2025.8.16.0000
5,0153497-42.2025.8.16.0000
6,0153486-13.2025.8.16.0000
7,0000006-78.2026.8.16.0000
8,0075943-31.2025.8.16.0000
9,0153500-94.2025.8.16.0000
10,0000041-38.2026.8.16.0000
11,0000013-70.2026.8.16.0000
12,0094159-40.2025.8.16.0000
13,0116709-29.2025.8.16.0000
14,0050639-66.2025.8.16.0182
15,0006355-97.2025.8.16.9000
16,0142526-95.2025.8.16.0000
17,0121515-10.2025.8.16.0000
18,0135348-95.2025.8.16.0000
19,0093903-97.2025.8.16.0000
20,0117333-78.2025.8.16.0000
21,0109563-34.2025.8.16.0000
22,0081160-55.2025.8.16.0000
23,0152857-39.2025.8.16.0000
24,0153376-14.2025.8.16.0000
25,0150742-45.2025.8.16.0000
26,0153443-76.2025.8.16.0000
27,0153421-18.2025.8.16.0000
28,0153367-52.2025.8.16.0000
29,0070710-53.2025.8.16.0000
30,0149249-33.2025.8.16.0000
31,0153381-36.2025.8.16.0000
32,0153390-95.2025.8.16.0000
33,0153388-28.2025.8.16.0000
34,0097327-50.2025.8.16.0000
35,0022564-55.2024.8.16.0019
36,0080733-58.2025.8.16.0000
37,0081011-85.2023.8.16.0014
38,0124265-82.2025.8.16.0000
39,0153076-52.2025.8.16.0000
40,0100683-53.2025.8.16.0000
41,0105749-14.2025.8.16.0000
42,0072024-34.2025.8.16.0000
43,0153345-91.2025.8.16.0000
44,0153291-28.2025.8.16.0000
45,0153146-69.2025.8.16.0000
46,0142200-38.2025.8.16.0000
47,0153307-79.2025.8.16.0000
48,0028070-35.2025.8.16.0000
49,0016906-73.2025.8.16.0000
50,0152313-51.2025.8.16.0000
51,0114752-90.2025.8.16.0000
52,0056320-78.2025.8.16.0000
53,0026924-77.2017.8.16.0019
54,0001642-76.2025.8.16.0174
55,0151555-72.2025.8.16.0000
56,0000422-66.2025.8.16.0134
57,0069579-43.2025.8.16.0000
58,0002828-80.2025.8.16.0192
59,0129445-79.2025.8.16.0000
60,0010193-50.2023.8.16.0001
61,0018294-54.2025.8.16.0018
62,0122573-48.2025.8.16.0000
63,0009109-97.2023.8.16.0038
64,0066132-47.2025.8.16.0000
65,0060241-45.2025.8.16.0000
66,0151684-77.2025.8.16.0000
67,0151760-04.2025.8.16.0000
68,0136338-86.2025.8.16.0000
69,0063849-51.2025.8.16.0000
70,0115389-41.2025.8.16.0000
71,0135415-60.2025.8.16.0000
72,0134956-58.2025.8.16.0000
73,0152811-50.2025.8.16.0000
74,0152530-94.2025.8.16.0000
75,0152556-92.2025.8.16.0000
76,0152288-38.2025.8.16.0000
77,0152869-53.2025.8.16.0000
78,0152812-35.2025.8.16.0000
79,0005757-68.2025.8.16.0004
80,0118834-67.2025.8.16.0000
81,0100708-66.2025.8.16.0000
82,0152506-66.2025.8.16.0000
83,0152864-31.2025.8.16.0000
84,0151152-06.2025.8.16.0000
85,0152899-88.2025.8.16.0000
86,0139725-12.2025.8.16.0000
87,0097521-50.2025.8.16.0000
88,0118351-37.2025.8.16.0000
89,0013633-84.2025.8.16.0033
90,0013632-02.2025.8.16.0033
91,0152393-15.2025.8.16.0000
92,0152637-41.2025.8.16.0000
93,0151956-71.2025.8.16.0000
94,0152383-68.2025.8.16.0000
95,0052423-76.2025.8.16.0021
96,0007837-29.2025.8.16.0190
97,0134417-92.2025.8.16.0000
98,0005087-05.2025.8.16.0174
99,0004043-03.2021.8.16.0105
100,0004805-64.2025.8.16.0174
101,0008352-19.2018.8.16.0058
102,0152816-72.2025.8.16.0000
103,0010899-48.2025.8.16.0038
104,0152944-92.2025.8.16.0000
105,0151904-75.2025.8.16.0000
106,0152915-42.2025.8.16.0000
107,0153194-28.2025.8.16.0000
108,0153099-95.2025.8.16.0000
109,0153069-60.2025.8.16.0000
110,0153073-97.2025.8.16.0000
111,0153203-87.2025.8.16.0000
112,0094587-22.2025.8.16.0000
113,0152750-92.2025.8.16.0000
114,0152764-76.2025.8.16.0000
115,0152497-07.2025.8.16.0000
116,0152832-26.2025.8.16.0000
117,0063703-65.2025.8.16.0014
118,0139766-76.2025.8.16.0000
119,0147304-11.2025.8.16.0000
120,0144911-16.2025.8.16.0000
121,0010229-63.2021.8.16.0001
122,0010369-52.2023.8.16.0058
123,0007105-02.2025.8.16.9000
124,0007469-71.2025.8.16.9000
125,0002553-91.2025.8.16.9000
126,0007472-26.2025.8.16.9000
127,0007466-19.2025.8.16.9000
128,0002624-93.2025.8.16.9000
129,0007595-24.2025.8.16.9000
130,0004905-22.2025.8.16.9000
